,intraday,overnight,monthly,seasonal,longterm,Original,Frequencies
410,0j,0j,,0j,0j,,0.004680311867976064
411,0j,0j,,0j,0j,,0.0046917272627760055
412,0j,0j,,0j,0j,,0.004703142657575947
413,0j,0j,,0j,0j,,0.004714558052375889
414,0j,0j,,0j,0j,,0.004725973447175831
415,0j,0j,,0j,0j,,0.0047373888419757725
416,0j,0j,,0j,0j,,0.004748804236775714
417,0j,0j,,0j,0j,,0.004760219631575655
418,0j,0j,,0j,0j,,0.004771635026375597
419,0j,0j,,0j,0j,,0.0047830504211755385
420,0j,0j,,0j,0j,,0.00479446581597548
421,0j,0j,,0j,0j,,0.004805881210775422
422,0j,0j,,0j,0j,,0.004817296605575364
423,0j,0j,,0j,0j,,0.0048287120003753055
424,0j,0j,,0j,0j,,0.004840127395175247
425,0j,0j,,0j,0j,,0.004851542789975188
426,0j,0j,,0j,0j,,0.00486295818477513
427,0j,0j,,0j,0j,,0.0048743735795750715
428,0j,0j,,0j,0j,,0.004885788974375013
429,0j,0j,,0j,0j,,0.004897204369174955
430,0j,0j,,0j,0j,,0.004908619763974897
431,0j,0j,,0j,0j,,0.0049200351587748384
432,0j,0j,,0j,0j,,0.004931450553574779
433,0j,0j,,0j,0j,,0.004942865948374721
434,0j,0j,,0j,0j,,0.004954281343174663
435,0j,0j,,0j,0j,,0.0049656967379746045
436,0j,0j,,0j,0j,,0.004977112132774546
437,0j,0j,,0j,0j,,0.004988527527574488
438,0j,0j,,0j,0j,,0.00499994292237443
439,0j,0j,,0j,0j,,0.0050113583171743714
440,0j,0j,,0j,0j,,0.005022773711974312
441,0j,0j,,0j,0j,,0.005034189106774254
442,0j,0j,,0j,0j,,0.005045604501574196
443,0j,0j,,0j,0j,,0.0050570198963741375
444,0j,0j,,0j,0j,,0.005068435291174079
445,0j,0j,,0j,0j,,0.005079850685974021
446,0j,0j,,0j,0j,,0.005091266080773963
447,0j,0j,,0j,0j,,0.0051026814755739044
448,0j,0j,,0j,0j,,0.005114096870373845
449,0j,0j,,0j,0j,,0.005125512265173787
450,0j,0j,,0j,0j,,0.005136927659973729
451,0j,0j,,0j,0j,,0.0051483430547736705
452,0j,0j,,0j,0j,,0.005159758449573612
453,0j,0j,,0j,0j,,0.005171173844373554
454,0j,0j,,0j,0j,,0.005182589239173496
455,0j,0j,,0j,0j,,0.005194004633973437
456,0j,0j,,0j,0j,,0.005205420028773378
457,0j,0j,,0j,0j,,0.00521683542357332
458,0j,0j,,0j,0j,,0.005228250818373262
459,0j,0j,,0j,0j,,0.0052396662131732035
460,0j,0j,,0j,0j,,0.005251081607973145
461,0j,0j,,0j,0j,,0.005262497002773087
462,0j,0j,,0j,0j,,0.005273912397573029
463,0j,0j,,0j,0j,,0.00528532779237297
464,0j,0j,,0j,0j,,0.005296743187172911
465,0j,0j,,0j,0j,,0.005308158581972853
466,0j,0j,,0j,0j,,0.005319573976772795
467,0j,0j,,0j,0j,,0.0053309893715727365
468,0j,0j,,0j,0j,,0.005342404766372678
469,0j,0j,,0j,0j,,0.00535382016117262
470,0j,0j,,0j,0j,,0.005365235555972561
471,0j,0j,,0j,0j,,0.005376650950772503
472,0j,0j,,0j,0j,,0.005388066345572444
473,0j,0j,,0j,0j,,0.005399481740372386
474,0j,0j,,0j,0j,,0.005410897135172328
475,0j,0j,,0j,0j,,0.0054223125299722695
476,0j,0j,,0j,0j,,0.005433727924772211
477,0j,0j,,0j,0j,,0.005445143319572153
478,0j,0j,,0j,0j,,0.005456558714372094
